,animal_id,animal_name,experiment_id,sex,gene,age,plane_of_section,treatment
543,74899330,06-0342,75080643,Male,Dscaml1,56.0,coronal,ISH
544,74899344,06-0344,75081000,Male,Grin2a,56.0,coronal,ISH
545,74878325,06-0336,75084520,Male,Pcp4l1,56.0,coronal,ISH
546,74899317,06-0340,75081206,Male,Baiap3,56.0,coronal,ISH
547,74865195,06-0325,75077172,Male,Tox3,56.0,coronal,ISH
548,74785066,06-0295,74988667,Male,Adcyap1r1,56.0,coronal,ISH
549,74481141,06-0165,74724764,Male,Npas2,56.0,coronal,ISH
550,74481125,06-0161,74724763,Male,Id3,56.0,coronal,ISH
551,74343241,06-0115,74658243,Male,Bcl2l11,56.0,coronal,ISH
552,73806603,06-0005,74641320,Male,Ctnnd1,56.0,coronal,ISH
553,73977227,06-0024,74657929,Male,Nhlh2,56.0,coronal,ISH
554,73806591,06-0003,74641316,Male,Avpr1a,56.0,coronal,ISH
555,73652038,05-3730,74641304,Male,Pou4f1,56.0,coronal,ISH
556,73651988,05-3736,74641308,Male,Zfhx3,56.0,coronal,ISH
557,73573701,05-3654,74511882,Male,Adcyap1,56.0,coronal,ISH
558,75037027,06-0403,75147762,Male,Nos1,56.0,coronal,ISH
559,74878483,06-0335,75084476,Male,Nog,56.0,coronal,ISH
560,74878325,06-0336,75084530,Male,Per3,56.0,coronal,ISH
561,74878479,06-0333,75084112,Male,Ppp3r2,56.0,coronal,ISH
562,70298629,05-2258,71015388,Male,Psrc1,56.0,coronal,ISH
563,74357307,06-0121,74800903,Male,Selk,56.0,coronal,ISH
564,74071361,06-0064,74658110,Male,Csnk1a1,56.0,coronal,ISH
565,73633956,05-3709,74581376,Male,Sema3d,56.0,coronal,ISH
566,73425187,05-3521,74357559,Male,Pou6f1,56.0,coronal,ISH
567,72147849,05-3400,74047775,Male,Fzd6,56.0,coronal,ISH
568,72010453,05-3360,73992719,Male,Fat3,56.0,coronal,ISH
569,72008723,05-3347,73931634,Male,Gm626,56.0,coronal,ISH
570,71935622,05-3306,73992708,Male,Satb2,56.0,coronal,ISH
571,74553737,06-0200,74819259,Male,Copg2,56.0,coronal,ISH
572,74553725,06-0194,74819240,Male,Aldh2,56.0,coronal,ISH
573,74495210,06-0178,74750015,Male,Maoa,56.0,coronal,ISH
574,74481146,06-0166,74743257,Male,Nrg1,56.0,coronal,ISH
575,74373808,06-0140,74724639,Male,Celsr3,56.0,coronal,ISH
576,73634007,05-3717,74581424,Male,Kcnb2,56.0,coronal,ISH
577,73633913,05-3705,74581366,Male,Tsc22d3,56.0,coronal,ISH
578,73440263,05-3554,74357570,Male,Tpd52l1,56.0,coronal,ISH
579,72974492,05-3496,74357547,Male,Id4,56.0,coronal,ISH
580,72962240,05-3488,74272054,Male,Adam19,56.0,coronal,ISH
581,72963884,05-3491,74272904,Male,Sp8,56.0,coronal,ISH
582,72962948,05-3490,74272478,Male,Gdf11,56.0,coronal,ISH
583,72962236,05-3487,74272037,Male,Map2,56.0,coronal,ISH
584,72172847,05-3436,74047920,Male,Pacsin2,56.0,coronal,ISH
585,72147849,05-3400,74047774,Male,Spint2,56.0,coronal,ISH
586,72135230,05-3392,74047715,Male,Lrp8,56.0,coronal,ISH
